datetime,Platform Name,location,priority,monitoring item
9/30/2019 23:58,platform 1,location 1,WARNING,Consumer
9/30/2019 23:53,platform 1,location 1,WARNING,Consumer
9/30/2019 23:48,platform 1,location 1,WARNING,Consumer
9/30/2019 23:43,platform 1,location 1,WARNING,Consumer
9/30/2019 23:38,platform 1,location 1,WARNING,Consumer
9/30/2019 23:33,platform 1,location 1,WARNING,Consumer
9/30/2019 23:28,platform 1,location 1,WARNING,Consumer
9/30/2019 23:23,platform 1,location 1,WARNING,Consumer
9/30/2019 23:18,platform 1,location 1,WARNING,Consumer
9/30/2019 23:13,platform 1,location 1,WARNING,Consumer
9/30/2019 23:08,platform 1,location 1,WARNING,Consumer
9/30/2019 23:03,platform 1,location 1,WARNING,Consumer
9/30/2019 22:58,platform 1,location 1,WARNING,Consumer
9/30/2019 22:53,platform 1,location 1,WARNING,Consumer
9/30/2019 22:48,platform 1,location 1,WARNING,Consumer
9/30/2019 22:43,platform 1,location 1,WARNING,Consumer
9/30/2019 22:38,platform 1,location 1,WARNING,Consumer
9/30/2019 22:33,platform 1,location 1,WARNING,Consumer
9/30/2019 22:28,platform 1,location 1,WARNING,Consumer
9/30/2019 22:23,platform 1,location 1,WARNING,Consumer
9/30/2019 22:18,platform 1,location 1,WARNING,Consumer
9/30/2019 22:13,platform 1,location 1,WARNING,Consumer
9/30/2019 22:08,platform 1,location 1,WARNING,Consumer
9/30/2019 22:03,platform 1,location 1,WARNING,Consumer
9/30/2019 21:58,platform 1,location 1,WARNING,Consumer
9/30/2019 21:53,platform 1,location 1,WARNING,Consumer
9/30/2019 21:48,platform 1,location 1,CRITICAL,Consumer
9/30/2019 21:43,platform 1,location 1,WARNING,Consumer
9/30/2019 21:38,platform 1,location 1,WARNING,Consumer
9/30/2019 21:33,platform 1,location 1,WARNING,Consumer
9/30/2019 21:28,platform 1,location 1,WARNING,Consumer
9/30/2019 21:23,platform 1,location 1,WARNING,Consumer
9/30/2019 21:18,platform 1,location 1,WARNING,Consumer
9/30/2019 21:13,platform 1,location 1,WARNING,Consumer
9/30/2019 21:08,platform 1,location 1,WARNING,Consumer
9/30/2019 21:03,platform 1,location 1,WARNING,Consumer
9/30/2019 20:58,platform 1,location 1,WARNING,Consumer
9/30/2019 20:53,platform 1,location 1,WARNING,Consumer
9/30/2019 20:48,platform 1,location 1,WARNING,Consumer
9/30/2019 20:43,platform 1,location 1,WARNING,Consumer
9/30/2019 20:38,platform 1,location 1,WARNING,Consumer
9/30/2019 20:33,platform 1,location 1,WARNING,Consumer
9/30/2019 20:28,platform 1,location 1,WARNING,Consumer
9/30/2019 20:23,platform 1,location 1,WARNING,Consumer
9/30/2019 20:18,platform 1,location 1,WARNING,Consumer
9/30/2019 20:13,platform 1,location 1,WARNING,Consumer
9/30/2019 20:08,platform 1,location 1,WARNING,Consumer
9/30/2019 20:03,platform 1,location 1,WARNING,Consumer
9/30/2019 19:58,platform 1,location 1,WARNING,Consumer
9/30/2019 19:53,platform 1,location 1,WARNING,Consumer
9/30/2019 19:48,platform 1,location 1,WARNING,Consumer
9/30/2019 19:43,platform 1,location 1,WARNING,Consumer
9/30/2019 19:38,platform 1,location 1,WARNING,Consumer
9/30/2019 19:33,platform 1,location 1,WARNING,Consumer
9/30/2019 19:28,platform 1,location 1,WARNING,Consumer
9/30/2019 19:23,platform 1,location 1,WARNING,Consumer
9/30/2019 19:18,platform 1,location 1,WARNING,Consumer
9/30/2019 19:13,platform 1,location 1,WARNING,Consumer
9/30/2019 19:08,platform 1,location 1,WARNING,Consumer
9/30/2019 19:03,platform 1,location 1,WARNING,Consumer
9/30/2019 18:58,platform 1,location 1,WARNING,Consumer
9/30/2019 18:53,platform 1,location 1,WARNING,Consumer
9/30/2019 18:48,platform 1,location 1,WARNING,Consumer
9/30/2019 18:43,platform 1,location 1,WARNING,Consumer
9/30/2019 18:38,platform 1,location 1,WARNING,Consumer
9/30/2019 18:33,platform 1,location 1,WARNING,Consumer
9/30/2019 18:28,platform 1,location 1,WARNING,Consumer
9/30/2019 18:23,platform 1,location 1,WARNING,Consumer
9/30/2019 18:18,platform 1,location 1,WARNING,Consumer
9/30/2019 18:13,platform 1,location 1,WARNING,Consumer
9/30/2019 18:08,platform 1,location 1,WARNING,Consumer
9/30/2019 18:03,platform 1,location 1,WARNING,Consumer
9/30/2019 17:58,platform 1,location 1,WARNING,Consumer
9/30/2019 17:53,platform 1,location 1,WARNING,Consumer
9/30/2019 17:48,platform 1,location 1,WARNING,Consumer
9/30/2019 17:43,platform 1,location 1,WARNING,Consumer
9/30/2019 17:38,platform 1,location 1,WARNING,Consumer
9/30/2019 17:33,platform 1,location 1,WARNING,Consumer
9/30/2019 17:28,platform 1,location 1,WARNING,Consumer
9/30/2019 17:23,platform 1,location 1,WARNING,Consumer
9/30/2019 17:18,platform 1,location 1,WARNING,Consumer
9/30/2019 17:13,platform 1,location 1,WARNING,Consumer
9/30/2019 17:08,platform 1,location 1,WARNING,Consumer
9/30/2019 17:03,platform 1,location 1,WARNING,Consumer
9/30/2019 16:58,platform 1,location 1,WARNING,Consumer
9/30/2019 16:53,platform 1,location 1,WARNING,Consumer
9/30/2019 16:48,platform 1,location 1,WARNING,Consumer
9/30/2019 16:43,platform 1,location 1,WARNING,Consumer
9/30/2019 16:38,platform 1,location 1,WARNING,Consumer
9/30/2019 16:33,platform 1,location 1,WARNING,Consumer
9/30/2019 16:28,platform 1,location 1,WARNING,Consumer
9/30/2019 16:23,platform 1,location 1,WARNING,Consumer
9/30/2019 16:18,platform 1,location 1,WARNING,Consumer
9/30/2019 16:13,platform 1,location 1,WARNING,Consumer
9/30/2019 16:08,platform 1,location 1,WARNING,Consumer
9/30/2019 16:03,platform 1,location 1,WARNING,Consumer
9/30/2019 15:58,platform 1,location 1,WARNING,Consumer
9/30/2019 15:53,platform 1,location 1,WARNING,Consumer
9/30/2019 15:48,platform 1,location 1,WARNING,Consumer
9/30/2019 15:43,platform 1,location 1,WARNING,Consumer
